Date,Time,Grid,Sex,B_length,B_width,Tusk,Mass,Capt,ID,trap_X,trap_Y
4/28/15,17:00,1,f,,12.1,,0.814,n,0,4,1
4/28/15,18:00,1,m,,11.5,1.7,0.686,n,1,5,4
5/5/15,17:00,1,m,,,,,r,1,6,5
4/28/15,18:00,1,m,,12.2,2.8,0.816,n,2,5,5
4/28/15,18:00,1,f,,11.9,,0.543,n,3,3,10
4/28/15,18:00,1,f,,11.5,,0.767,n,4,5,2
5/6/15,12:00,1,f,,,,,r,4,5,2
5/11/15,17:00,1,f,,,,,r,4,5,1
5/11/15,18:00,1,f,,,,,r,4,4,1
5/11/15,19:00,1,f,,,,,r,4,4,1
4/28/15,18:00,1,f,,12,,0.768,n,5,4,5
4/29/15,16:00,1,f,,,,0.745,r,5,4,8
4/28/15,18:00,1,m,,12.2,3.15,0.637,n,6,6,1
4/28/15,18:00,1,f,,11.8,,0.772,n,7,5,1
4/29/15,14:00,1,f,,,,0.769,r,7,3,5
4/29/15,15:00,1,m,,12.4,3,0.727,n,8,8,7
4/29/15,17:00,1,m,,,,,r,8,7,7
4/29/15,16:00,1,m,,11.85,1.85,0.707,n,9,3,5
4/30/15,16:00,1,m,,,,,r,9,6,1
4/29/15,16:00,1,m,,12.7,3.55,0.91,n,10,7,2
4/29/15,17:00,1,m,,12.5,2.85,0.83,n,11,2,8
4/29/15,17:00,1,m,,11,1.05,0.584,n,12,9,4
4/30/15,16:00,1,m,,,,,r,12,7,4
4/29/15,18:00,1,f,20.55,11.4,,0.722,n,13,1,2
5/11/15,18:00,1,f,,,,,r,15,8,7
5/11/15,19:00,1,f,,,,,r,15,8,7
6/1/15,15:00,1,f,,11.6,,0.698,r,13,10,6
6/1/15,17:00,1,f,,,,,r,13,10,6
6/1/15,18:00,1,f,,,,,r,13,10,5
6/2/15,10:00,1,f,,,,,r,13,9,4
6/2/15,11:00,1,f,,,,,r,13,8,3
4/29/15,18:00,1,m,20.8,11.85,1.6,0.727,n,14,4,4
4/30/15,11:00,1,m,,,,0.709,r,14,4,5
4/30/15,13:00,1,m,,,,,r,14,3,4
4/30/15,14:00,1,m,,,,,r,14,2,3
4/29/15,18:00,1,m,,11.8,1.9,0.624,n,15,8,5
4/29/15,19:00,1,m,23.7,12.9,3.3,0.674,n,16,10,9
4/30/15,11:00,1,m,,,,0.674,r,16,8,8
4/30/15,13:00,1,m,,,,,r,16,7,7
4/30/15,10:00,1,f,19.8,10.6,,0.474,n,17,6,10
4/30/15,12:00,1,f,,,,,r,17,6,10
5/5/15,17:00,1,f,,,,,r,17,6,10
5/6/15,15:00,1,f,,,,,r,17,6,10
5/6/15,16:00,1,f,,,,,r,17,5,10
5/11/15,19:00,1,f,,,,,r,17,9,8
4/30/15,10:00,1,f,21.65,11.4,,0.756,n,18,7,4
6/1/15,17:00,1,f,21.25,11.45,,0.715,r,18,8,7
4/30/15,10:00,1,f,21.75,11.5,,0.727,n,19,11,6
5/5/15,17:00,1,f,,,,,r,19,11,7
5/6/15,13:00,1,f,,,,,r,19,11,6
4/30/15,10:00,1,f,21.95,11.65,,0.764,n,20,8,1
4/30/15,13:00,1,f,,,,,r,20,7,1
4/30/15,15:00,1,f,,,,,r,20,6,1
4/30/15,10:00,1,f,22.3,12.35,,0.935,n,21,8,9
5/11/15,17:00,1,f,,,,,r,21,6,11
5/11/15,18:00,1,f,,,,,r,21,6,11
5/11/15,19:00,1,f,,,,,r,21,6,11
4/30/15,10:00,1,m,22.9,12.2,3.1,0.564,n,22,10,2
4/30/15,11:00,1,m,19.4,10.75,1.15,0.558,n,23,2,5
4/30/15,13:00,1,m,,,,,r,23,2,4
4/30/15,11:00,1,m,25.75,13.5,3.4,1.148,n,24,5,1
4/30/15,11:00,1,m,22.25,12.2,2.65,0.831,n,25,6,4
4/30/15,11:00,1,f,21.4,11.8,,0.834,n,26,6,2
4/30/15,13:00,1,f,,,,,r,26,5,2
4/30/15,11:00,1,f,22,11.8,,0.825,n,27,7,6
4/30/15,14:00,1,f,,,,,r,27,6,6
4/30/15,15:00,1,f,,,,,r,27,6,6
5/5/15,17:00,1,f,,,,,r,27,5,7
5/6/15,11:00,1,f,,,,,r,27,4,7
5/6/15,12:00,1,f,,,,,r,27,4,7
5/6/15,13:00,1,f,,,,,r,27,4,7
